index,PPT,Condition,Correct,RT
1447,1,1,0,0.25973
1448,1,1,0,0.25973
1449,1,1,1,0.31823
1450,1,2,1,0.342
1451,1,2,1,0.34188
1452,1,1,1,0.29426
1454,1,2,1,0.33021
1456,1,2,0,0.28338
1457,1,1,1,0.33028
1460,1,2,1,0.64709
1461,1,2,1,0.35383
1462,1,2,1,0.38909
1464,1,1,1,0.34132
1465,1,1,1,0.37734
1467,1,2,1,0.27142
1468,1,2,0,0.33027
1469,1,2,0,0.36536
1472,1,1,0,0.31851
1473,1,2,0,0.25968
1475,1,1,0,0.34207
1477,1,1,1,0.34197
1478,1,1,1,0.29476
1479,1,2,0,0.22429
1480,1,2,1,0.35361
1481,1,2,0,0.31855
1482,1,2,1,0.34204
1483,1,1,1,0.35381
1484,1,1,1,0.3184
1485,1,1,1,0.35374
1486,1,2,1,0.29492
1487,1,2,1,0.31835
1488,1,1,1,0.28315
1489,1,2,0,0.31847
1490,1,2,0,0.31848
1491,1,2,1,0.50672
1492,1,2,1,0.41245
1495,1,1,1,0.40086
1499,1,2,0,0.29485
1500,1,1,1,0.33035
1501,1,1,0,0.27141
1503,1,1,1,0.35394
1504,1,2,1,0.34175
1506,1,1,1,0.29491
1508,1,2,1,0.27143
1509,1,2,0,0.31837
1510,1,2,1,0.25975
1511,1,1,1,0.24775
1512,1,1,1,0.29484
1513,1,1,0,0.36546
1514,1,1,0,0.2723
1515,1,2,0,0.28268
1516,1,1,0,0.38836
1517,1,2,0,0.33017
1518,1,1,1,0.43615
1519,1,1,1,0.34187
1521,1,2,1,0.37674
1522,1,1,1,0.21258
1527,1,1,0,0.29495
1528,1,1,1,0.34192
1532,1,2,1,0.25974
1534,1,2,1,0.37732
1535,1,1,1,0.36567
1536,1,1,1,0.24796
1537,1,2,1,0.38911
1538,1,1,0,0.21251
1539,1,2,1,0.36524
1542,1,2,1,0.21285
1544,1,1,1,0.36547
1545,1,2,1,0.38905
1546,1,2,1,0.3537
1547,1,1,1,0.36538
1548,1,1,1,0.40086
1549,1,2,0,0.38913
1550,1,1,1,0.3301
1551,1,1,1,0.30677
1552,1,2,1,0.27146
1553,1,1,0,0.21258
1556,1,1,1,0.3184
1557,1,1,1,0.29497
1558,1,2,1,0.37734
