PPT,Condition,RT,Correct
1,2,0.368002624,1
1,1,0.468168278,1
1,2,0.351343062,1
1,2,0.551613789,1
1,1,0.351332823,1
1,2,0.384766739,1
1,2,0.384676098,1
1,2,0.351270293,1
1,2,0.334672533,1
1,1,0.351331429,1
1,1,0.251285428,0
1,1,0.451504961,1
1,1,0.334629817,1
1,1,0.267820181,1
1,1,0.367965609,1
1,2,0.45150029,1
1,1,0.468032047,1
1,1,0.418052755,1
1,1,0.351404707,1
1,2,0.351281401,1
1,2,0.284605867,0
1,2,0.701737162,1
1,1,0.368015563,1
1,1,0.284545477,1
1,1,0.368035168,1
1,2,0.351389573,1
1,1,0.367903833,1
1,1,0.401406587,1
1,1,0.418070382,1
1,1,0.3346896,1
1,1,0.351385642,1
1,2,0.501534725,1
1,1,0.551562799,1
1,2,0.317950307,0
1,2,0.368044889,0
1,2,0.351351081,1
1,2,0.484870832,1
1,1,0.301304706,1
1,2,0.334710538,0
1,2,0.53491767,1
1,2,0.284655287,1
1,1,0.384746408,1
1,1,0.434707744,1
1,2,0.751742387,1
1,1,0.401344287,1
1,1,0.368005598,1
1,2,0.451494237,1
1,1,0.351372797,1
1,1,0.351333439,1
1,2,0.418037905,1
1,2,0.384670868,1
1,2,0.368020641,1
1,2,0.318021729,1
1,1,0.401404115,1
1,2,0.568312723,1
1,1,0.384660658,1
1,1,0.367953245,1
1,2,0.451429566,1
1,2,0.518194184,1
1,2,0.551458435,1
1,1,0.401436222,1
1,1,0.384705133,1
1,1,0.668347602,1
1,2,0.451486967,0
1,1,0.468190996,1
1,2,0.28462982,0
1,1,0.835227425,1
1,1,0.418122729,1
1,2,0.384654583,1
1,1,0.401389875,0
1,1,0.501567206,1
1,2,0.434728108,1
1,2,0.451310143,1
1,1,0.3680082,1
1,1,0.501480127,1
1,1,0.417862465,1
1,1,0.367994425,1
1,2,0.434755963,1
1,2,0.468103,1
1,2,0.501533369,1
1,2,0.601577636,1
1,2,0.384508856,1
1,2,0.384621445,1
1,2,0.351309151,0
1,1,0.518261598,1
1,2,0.451454447,1
1,2,0.434726996,1
1,2,0.501568343,1
1,1,0.468199773,1
1,1,0.334394954,1
1,2,0.35130073,0
1,1,0.518189396,1
1,1,0.384625723,1
1,1,0.317969099,1
1,2,0.36805681,1
1,1,0.501549284,1
1,1,0.384756664,1
1,1,0.351431633,1
1,2,0.468044958,1
1,1,0.518148914,1
1,1,0.401392493,1
1,2,0.301335622,1
1,1,0.334666144,1
1,2,0.418015885,1
1,2,0.384707164,1
1,1,0.468087553,1
1,1,0.368082643,1
1,2,0.33465447,1
1,1,0.317973889,1
1,2,0.35123107,1
1,2,0.451479755,1
1,1,0.418181787,1
1,2,0.334714578,0
1,1,0.751804575,1
1,2,0.368065169,1
1,1,0.35137214,0
1,1,0.334697809,1
1,1,0.384694579,1
1,1,0.28459585,1
1,1,0.43478526,1
1,2,0.468115943,1
1,1,0.418028944,1
1,1,0.434820231,1
1,2,0.451494134,1
1,2,0.418111184,1
1,2,0.334622506,1
1,1,0.484765979,1
1,2,0.384759917,1
1,2,0.368026875,1
1,1,0.367999692,1
1,2,0.401376565,1
1,2,0.351394539,1
1,2,0.317922463,1
1,1,0.317956104,1
1,1,0.317943193,1
1,1,0.351325652,1
1,2,0.367902641,1
1,2,0.451509,1
1,2,0.468141226,1
1,2,0.301317334,1
1,1,0.301264809,1
1,2,0.384801466,1
1,2,0.468115295,1
1,2,0.317956482,1
1,1,0.301292197,1
1,2,0.451470704,1
1,1,0.601564499,1
1,2,0.36808191,1
1,2,0.351304753,1
1,2,0.368015988,1
1,1,0.36804897,1
1,1,0.418147976,1
1,1,0.351403901,1
1,1,0.368108964,1
1,1,0.334679983,0
1,2,0.434897353,1
1,1,0.434761154,1
1,1,0.334570369,1
1,2,0.267953982,0
1,2,0.351434818,1
1,1,0.351463185,1
1,1,0.518166325,1
1,1,0.334610469,1
1,2,0.368012223,1
1,1,0.334657148,1
1,2,0.301299323,0
1,1,0.368086481,1
1,2,0.418152115,1
1,2,0.501512234,1
1,1,0.434707301,1
1,1,0.334688677,1
1,2,0.28463495,0
1,1,0.368069216,1
1,1,0.317950541,1
1,2,0.384751323,0
1,2,0.468090454,1
1,1,0.384717231,1
1,2,0.334781666,0
1,1,0.368070675,1
1,1,0.334720646,1
1,2,0.518252786,1
1,2,0.418064307,1
1,2,0.33463312,1
1,2,0.351272845,1
1,1,0.484888984,1
1,1,0.401423026,1
1,2,0.351285906,1
1,1,0.618352658,1
1,1,0.351318232,0
1,2,0.468099041,1
1,2,0.334641588,1
1,2,0.418161638,1
1,1,0.31795711,1
1,1,0.368042302,1
1,2,0.367915038,1
1,1,0.318059534,1
1,2,0.334623813,0
1,2,0.284547028,0
1,2,0.501570904,1
1,2,0.367984148,1
1,1,0.451471179,1
1,1,0.334625306,1
1,1,0.384598741,1
1,1,0.468065945,1
1,1,0.384744794,1
1,2,0.334577836,1
1,1,0.317994119,1
1,2,0.418136611,1
1,1,0.351356022,1
1,2,0.401343089,1
1,2,0.401515214,1
1,2,0.434786713,1
1,1,0.401345034,1
1,2,0.301246276,1
1,2,0.418160192,1
1,2,0.451415603,1
1,1,0.334703722,1
1,2,0.351313748,0
1,1,0.384813364,1
1,1,0.418114085,1
1,2,0.351329256,1
1,1,0.367996013,1
1,1,0.501523658,1
1,1,0.368092307,1
1,1,0.367706277,1
1,1,0.367916775,0
1,2,0.451370326,1
1,1,0.368033493,1
1,2,0.401433109,1
1,1,0.401446034,1
1,1,0.468129168,1
1,2,0.334651922,0
1,2,0.334667821,1
1,2,0.301268174,0
1,2,0.367936182,0
1,1,0.518098125,1
1,1,0.38470502,1
1,2,0.384718377,1
1,2,0.434782751,1
1,1,0.451333073,1
1,1,0.50153225,1
1,1,0.685088731,1
1,2,0.418096175,1
1,2,0.468264184,1
1,2,0.601655036,0
1,1,0.534927794,1
1,2,0.401452069,1
1,1,0.401297276,1
1,2,0.351272448,1
1,2,0.484773555,1
1,1,0.735116782,1
1,1,0.484807141,1
1,1,0.418097785,1
1,2,0.334601065,0
1,1,0.501540829,1
1,2,0.351358048,1
1,1,0.368007675,1
1,1,0.518197901,1
1,2,0.501547778,1
1,2,0.351437757,1
1,2,0.434822189,1
1,1,0.351294964,1
1,1,0.418061265,1
1,2,0.368087489,1
1,2,0.451513777,1
1,2,0.434788374,1
1,1,0.384726137,1
1,1,0.568266359,1
1,1,0.468053498,1
1,1,0.351355045,1
1,1,0.384698471,1
1,2,0.434765446,1
1,2,0.551494872,1
1,1,0.451460631,1
1,2,0.7685151,1
1,2,0.351337349,1
1,1,0.401438892,1
1,2,0.401374715,1
1,2,0.468163105,1
1,1,0.401441192,1
1,1,0.484847121,1
1,1,0.484801305,1
1,2,0.434725598,0
1,2,0.735100891,1
1,2,0.568229718,1
1,1,0.334612853,1
1,1,0.451474927,1
1,2,0.468137175,1
1,2,0.468264389,1
1,1,0.451411101,0
1,1,0.384732416,1
1,1,0.43477053,1
1,2,0.668305206,1
1,2,0.367944097,1
1,1,0.484887993,1
1,2,0.601687744,1
1,2,0.768431081,1
1,2,0.468136676,1
1,1,0.451399516,1
1,2,0.484846354,1
1,2,0.518180794,1
1,2,0.501528809,1
1,2,0.568279703,1
1,2,0.618389622,1
1,1,0.434734219,1
1,2,0.418052543,1
1,2,0.451495588,1
1,1,0.501525747,1
1,2,0.518203428,1
1,2,0.518254597,1
1,1,0.434734947,1
1,1,0.434824295,1
1,1,0.434775138,1
1,1,0.434782363,1
1,1,0.451499497,1
1,1,0.401458452,1
1,1,0.418037762,1
1,2,0.468096005,1
1,2,0.518219716,1
1,2,0.518213176,1
1,1,0.568228153,1
1,1,0.484800391,1
1,1,0.468161089,1
1,2,0.60168028,1
1,2,0.384726971,1
1,1,0.518152448,1
1,2,0.501567642,1
1,2,0.434720504,1
1,1,0.484795196,1
1,2,0.4847869,1
1,1,0.484787673,1
1,2,0.584947116,1
1,2,0.418078712,1
1,2,0.484802959,1
1,2,0.468073359,1
1,2,0.518146541,1
1,1,0.568271713,1
1,1,0.418091365,1
1,1,0.45142587,1
1,2,0.451330914,1
1,1,0.634970086,1
1,1,0.634973976,1
1,1,0.534877632,1
1,1,0.468169449,1
1,1,0.401404102,1
1,2,0.568078616,1
1,2,0.65163438,1
1,2,0.468015256,1
